,,,,,,
,Workbook Contents,,,,,
,U.S. Total Stocks of Crude Oil and Petroleum Products,,,,,
,,,,,,
,Click worksheet name or tab at bottom for data,,,,,
,Worksheet Name,Description,# Of Series,Frequency,Latest Data for,
,Data 1,U.S. Total Stocks of Crude Oil and Petroleum Products,37,Weekly,3/10/2017,8/20/1982
,,,,,,
,Release Date:,3/15/2017,,,,
,Next Release Date:,3/22/2017,,,,
,,,,,,
,Excel File Name:,pet_stoc_wstk_dcu_nus_w.xls,,,,
,Available from Web Page:,http://www.eia.gov/dnav/pet/pet_stoc_wstk_dcu_nus_w.htm,,,,
,Source:,Energy Information Administration,,,,
,"For Help, Contact:",infoctr@eia.gov,,,,
,,(202) 586-8800,,,3/15/2017 10:41:00 AM,
